Date;Hour;WS01;WS02;WS03;WS04;WS05;WS06;WS07;WS08;WS09;WS10;WS11;WS12;WS13;WS14;WS15;WS16;WS17;WS18;WS19;WS20;WS21;WS22;WS23;WS24;WS25;WS26;WS27;WS28;WS29;WS30;WS31;WS32;WS33;WS34;WS35;WS36
02.01.;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.01.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.01.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.01.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.01.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.01.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.01.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.01.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.01.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.01.;9;0.000670185;0.006076391;0.002726324;0.002895355;0.001437041;0.002100375;0.004644064;0.001408598;0.00437524;0.011503863;0.001652372;0.009750787;0.002022815;0.003664674;0.006525409;0.00897789;0.003189387;0.004535208;0.002586509;0.002464506;0.00217272;0.009848304;0.002099768;0.005778573;0.002824;0.001880937;0.001939867;0.002386407;0.002344855;0.004753415;0.003365698;0.006495658;0.004001273;0.008636192;0.00064127;0.008054005
03.01.;10;0.011613153;0.058391802;0.046187052;0.038612823;0.023789298;0.040936253;0.048876478;0.012783154;0.062616157;0.089964883;0.022237863;0.07314892;0.026865921;0.030370089;0.059677207;0.065520489;0.035449691;0.049774076;0.030369057;0.027849441;0.023987589;0.104698837;0.038772407;0.046488507;0.034019103;0.028950671;0.036284658;0.030389527;0.034374005;0.055379217;0.043941205;0.046342429;0.028511064;0.083432151;0.006609205;0.059012442
03.01.;11;0.029853714;0.148269808;0.13591987;0.096412609;0.070115192;0.118111855;0.122068038;0.030574784;0.154203181;0.186101897;0.06435582;0.145684562;0.071561971;0.063809365;0.132427383;0.126337817;0.086651843;0.120464129;0.077787255;0.07236692;0.061398829;0.228251025;0.114068922;0.094920588;0.089493755;0.075172172;0.092001448;0.073184827;0.096676863;0.132873532;0.101659919;0.092820037;0.053550749;0.181647135;0.015294982;0.118826427
03.01.;12;0.04472899;0.238872402;0.233678058;0.149349994;0.120715489;0.192651514;0.19170524;0.046535209;0.238541066;0.258700759;0.111141917;0.194960487;0.112455384;0.087459364;0.189441776;0.165501259;0.130184365;0.179901953;0.12093294;0.11353357;0.097028717;0.321189163;0.196650072;0.129348737;0.147971616;0.117061918;0.137538562;0.108485921;0.157230062;0.20333918;0.147777427;0.125651613;0.069554258;0.261584005;0.022145152;0.162890584
03.01.;13;0.048104485;0.276447014;0.293057804;0.169563335;0.155003889;0.225805727;0.248618565;0.054078813;0.277302597;0.278102895;0.145423928;0.200687142;0.137684053;0.078156967;0.202152636;0.164720905;0.151303478;0.204901286;0.133202132;0.125811907;0.101584794;0.341090147;0.213620024;0.129981063;0.172553021;0.133179881;0.148658835;0.124512587;0.181254655;0.231621513;0.163884083;0.113857588;0.069834579;0.295256755;0.023281759;0.168810869
